"Position","Drug Name","Reference Type","Primary Reference","Secondary Reference","Drug Detail Link","Primary Reference Link","Secondary Reference Link"
78,"cúrcuma","Other","Farmacopeia Brasileira, 5th edn. (Anvisa, 2010)","Farmacopeia Brasileira, 6th edn. (Anvisa, 2019)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=c%C3%BArcuma&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8865&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=3466&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
79,"cúrcuma, raiz","Other","Farmacopea Herbolaria Mexico (2001)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=c%C3%BArcuma%2C+raiz&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8395&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
80,"cúrcuma, raíz","Other","Farmacopea Herbolaria Mexicanos (2013)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=c%C3%BArcuma%2C+ra%C3%ADz&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=9301&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
81,"dar-zard","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=dar-zard&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
82,"darzard","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=darzard&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
83,"darzardi","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=darzardi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
84,"dilau","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=dilau&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
85,"dilaw","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=dilaw&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
86,"dirgharaga","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=dirgharaga&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
87,"dosa","Other","Indian Med. Pl. Database (TDU, 2020)","Siddha Pharmacop. India, Vol. 1 (2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=dosa&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8874&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
88,"doṣā","Other","Ayurvedic Pharm. of India (1999-2011)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=do%E1%B9%A3%C4%81&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
89,"gandhapalashika","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gandhapalashika&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
90,"gauri","Other","Indian Med. Pl. Database (TDU, 2020)","Indian Med. Pl. Dictionary (Khare, 2007)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gauri&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100407&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
91,"gelbwurzel","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)","Med. Pl. of the World (Wyk & Wink, 2004)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gelbwurzel&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=7279&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
92,"gengibre-amarelo","Other","Med. & Pois. Pl. NE Brazil (Agra et al., 2007)","Med. Pl. of NE Brazil (Fátima Agra et al., 2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gengibre-amarelo&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8428&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8426&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
93,"gengibre-dourada","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gengibre-dourada&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
94,"gezo","Other","Handbook of Arabian Med. Pl. (Ghazanfar, 1994)","WHO Monog. Med. Pl. 1 (WHO, 1999)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gezo&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100215&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
95,"gharshani","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gharshani&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
96,"goeratji","Other","Duke's Ethnobot. DB: Ethnobot. (USDA, 1992-2016)","WHO Monog. Med. Pl. 1 (WHO, 1999)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=goeratji&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100463&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
97,"gopaulpore turmeric","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gopaulpore+turmeric&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
98,"guisador","Other","Pl. for Malaria, Pl. for Fever (Milliken, 2021)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=guisador&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100242&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
99,"gurkmeja","Other","GRIN Report: World Economic Pl. (Wiersema & León, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=gurkmeja&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=1180&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
100,"ha ri da dro (d)","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=ha+ri+da+dro+%28d%29&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
101,"ha ri dra","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=ha+ri+dra&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
102,"haku halu","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haku+halu&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
103,"halad","Other","Ayurvedic Pharm. of India (1999-2011)","Indian Med. Pl. Database (TDU, 2020)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halad&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
104,"halada","Other","Indian Med. Pl. Database (TDU, 2020)","Unani Pharmacop. India (2007-2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halada&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
105,"haladhi","Other","Ayurvedic Pharm. of India (1999-2011)","Siddha Pharmacop. India, Vol. 1 (2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haladhi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8874&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
106,"haladi","Other","Ayurvedic Pharm. of India (1999-2011)","Indian Med. Pl. Database (TDU, 2020)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haladi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
107,"haladika","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haladika&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
108,"halalda","Other","Unani Pharmacop. India (2007-2008)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halalda&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
109,"halalsa","Other","Unani Pharmacop. India (2007-2008)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halalsa&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
110,"hald","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hald&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
111,"halda","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halda&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
112,"haldar","Other","Ayurvedic Pharm. of India (1999-2011)","Siddha Pharmacop. India, Vol. 1 (2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldar&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8874&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
113,"halder","Other","Unani Pharmacop. India (2007-2008)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halder&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
114,"haldhi","Other","Ayurvedic Pharm. of India (1999-2011)","Siddha Pharmacop. India, Vol. 1 (2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldhi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8874&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
115,"haldi","Other","Ayurvedic Pharm. of India (1999-2011)","Demand & Supply of Med. Pl. in India (Ved et al., 2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8547&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
116,"haldi biryan","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldi+biryan&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
117,"haldi nim kfota","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldi+nim+kfota&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
118,"haldi zard","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldi+zard&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
119,"haldu","Other","Indian Med. Pl. Database (TDU, 2020)","WHO Monog. Med. Pl. 1 (WHO, 1999)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haldu&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
120,"halede","Other","Indian Med. Pl. Database (TDU, 2020)","Unani Pharmacop. India (2007-2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halede&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
121,"haledo","Other","Pl. & People of Nepal (Manandhar, 2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haledo&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6667&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
122,"halija","Other","Unani Pharmacop. India (2007-2008)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halija&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
123,"halu","Other","Pl. & People of Nepal (Manandhar, 2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halu&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6667&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
124,"halud","Other","Ayurvedic Pharm. of India (1999-2011)","Ethnobot. of Pangkhua Community in Bangladesh (Faruque, 2019)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=halud&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100233&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
125,"harandi","Other","Pl. & People of Nepal (Manandhar, 2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=harandi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6667&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
126,"hardi","Other","Ayurvedic Pharm. of India (1999-2011)","Indian Med. Pl. Database (TDU, 2020)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hardi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
127,"hardithuli","Other","Pl. & People of Nepal (Manandhar, 2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hardithuli&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6667&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
128,"haridra","Other","Ayurvedic Med. Pl. of Sri Lanka (Samarasuriya et al., 2020)","Demand & Supply of Med. Pl. in India (Ved et al., 2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haridra&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100221&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8547&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
129,"haridra powder","Other","Trad. Herb. Remedies for Primary Health Care (WHO SE Asia, 2011)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haridra+powder&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100251&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
130,"haridraa","Other","Indian Med. Pl. Dictionary (Khare, 2007)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haridraa&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100407&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
131,"haridrakam","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haridrakam&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
132,"haridruma","Other","Indian Med. Pl. Dictionary (Khare, 2007)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haridruma&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100407&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
133,"haridrā (rhizome)","Other","Ayurvedic Pharm. of India (1999-2011)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=haridr%C4%81+%28rhizome%29&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8388&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
134,"harita","Other","Indian Med. Pl. Database (TDU, 2020)","Unani Pharmacop. India (2007-2008)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=harita&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8390&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
135,"hattavilaasini","Other","Indian Med. Pl. Dictionary (Khare, 2007)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hattavilaasini&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100407&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
136,"hemaragi","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hemaragi&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
137,"hemaragini","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hemaragini&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
138,"hohomich","Other","Pl. & People of Nepal (Manandhar, 2002)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hohomich&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=6667&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
139,"holeed","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=holeed&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
140,"holud","Other","Ethnomed. of Garo Hills, Durgapur, Bangladesh (Khan et al., 2015)","Med. Pl. used by Deb Barma Clan in Bangladesh (Kabir et al., 2014)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=holud&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100232&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100231&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
141,"hridvilasini","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hridvilasini&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
142,"hsanwen","Other","WHO Monog. Med. Pl. 1 (WHO, 1999)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hsanwen&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
143,"huang chiang","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)","WHO Monog. Med. Pl. 1 (WHO, 1999)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=huang+chiang&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
144,"huang jiang","Other","Fresh Med. Pl. in Singapore (Siew et al., 2014)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=huang+jiang&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100446&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
145,"huang sih yu jin","Other","Taiwan Herbal Pharmacop. 3rd Chinese ed. (MOHW, 2018)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=huang+sih+yu+jin&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100237&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
146,"huangsiyujin","Other","Hong Kong Chinese Materia Med. Standards (2014)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=huangsiyujin&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=8885&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
147,"huanh chang","Other","Kew's Economic Botany Collection (RBG, Kew, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=huanh+chang&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100220&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
148,"hurid","Other","Handbook of Arabian Med. Pl. (Ghazanfar, 1994)","WHO Monog. Med. Pl. 1 (WHO, 1999)","https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hurid&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100215&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=5806&query=curcuma+longa&filter=&fuzzy=false&nameType=all"
149,"huáng jiāng","Other","Polyglot Asian Med.: Malay Subset (Stanley-Baker, 2022)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hu%C3%A1ng+ji%C4%81ng&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100268&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
150,"huáng sī yù jīn","Other","Polyglot Asian Med.: Malay Subset (Stanley-Baker, 2022)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=hu%C3%A1ng+s%C4%AB+y%C3%B9+j%C4%ABn&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100268&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
151,"ilekini","Other","Indian Med. Pl. Database (TDU, 2020)",,"https://mpns.science.kew.org/mpns-portal/drugDetail?drugName=ilekini&query=curcuma+longa&filter=&fuzzy=false&nameType=all","https://mpns.science.kew.org/mpns-portal/reference?reference=100236&query=curcuma+longa&filter=&fuzzy=false&nameType=all",
